,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,,1,1
85,6.187,205.15924,5-Vinylsalicylaldoxime,,,,117.03653,,,C9 H9 N O2,,,,,,,,,,,,,,,,,,,,,0.556,11.5,548,1512,,,,12905695,2332,1653,22369,1393088,82836,,5046,7232,361909,254340,263759,165012,120334,76623,7357,4918,6648,53089,55228,,,,,,
86,6.195,154.09347,"8,9-Dioxo-1-azabicyclo[4.3.0]nonane",,,,168.09334,,,C8 H11 N O2,,,,,,,,,,,,,,,,,,,,,0.556,4.8,682,1512,,,,,2230,12577,2229,58628,6629,23569,8563,1931,11309,1576,19772,5560,126817,7752,9603,1656,1368,18012,14515,,,,,,
87,6.208,563.07513,"Undecanoic acid, 10-methyl-, methyl ester",,,,563.07458,,,C13 H26 O2,,,,,,,,,,,,,,,,,,,,,0.855,88.3,509,1514,,,,31396,57300,39718,19464,34150,22643,47132,37810,22993,42038,23911,26853,17952,42129,38995,13652,14509,14254,7078,22602,,,,,,
88,6.239,430.08917,Peak@6.239,,,,270.99411,,,,,,,,,,,,,,,,,,,,,,,,0,,,1517,,,,59959,316788,20906,1213639,327779,551773,15385,27122,21619,74323,66794,58674,1278157,1183761,894056,36126,38278,37699,1123976,515502,,,,,,
90,6.244,429.08923,Peak@6.248,,,,324.98663,,,,,,,,,,,,,,,,,,,,,,,,0,,,1518,,,,2064739,2866753,847848,3121759,1257649,1630659,273326,419283,243128,2923393,2475528,2725016,5086725,7630770,4763310,822879,899431,1015436,1630008,3525232,,,,,,
89,6.245,428.16376,"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",,,,149.04491,,,C12 H34 O5 Si4,,,,,,,,,,,,,,,,,,,,,0.892,94.9,563,1518,,,,3185443,42293767,2386891,74783272,25963105,24564143,824374,1089499,671705,4051000,3769372,3730263,80377772,82330916,57165301,1724260,1777140,1908270,18817553,41309897,,,,,,
91,6.252,429.08926,Peak@6.252,,,,266.99921,,,,,,,,,,,,,,,,,,,,,,,,0,,,1518,,,,648808,10175463,173692,23841328,5881592,6562672,68358,114401,81180,785268,645962,711710,35871131,36700520,24795216,192934,229057,223388,8933667,16084355,,,,,,
92,6.257,519.10284,(R)-3-Hydroxy-3-phenyl-1-tosylpiperidin-4-one,,,,519.10229,,,C18 H19 N O4 S,,,,,,,,,,,,,,,,,,,,,0.52,2.5,552,1518,,,,179562,214361,57254,457799,216916,139650,54936,90678,47591,172220,164692,164074,96974,425206,240852,39027,51885,48066,29011,166013,,,,,,
93,6.282,194.0943,"Benzoic acid, 4-ethoxy-, ethyl ester",,,,138.03119,,,C11 H14 O3,,,,,,,,,,,,,,,,,,,,,0.953,95.7,851,1521,1,,,1840707,503103,439247,835689,652882,350791,59927,108521,35114,642422,380123,1352745,450401,639378,443244,223308,197573,397761,188969,165661,,,,,,
94,6.283,166.06302,"2,6-Dimethoxybenzaldehyde",,,,151.03902,,,C9 H10 O3,,,,,,,,,,,,,,,,,,,,,0.969,98.6,873,1521,,,,235530,1599309,1189760,620305,531032,188406,6475,11208,2928,91154,73327,199421,236173,,,17035,55938,79152,397634,342377,,,,,,
95,6.29,179.07086,"(trans)-4-Allyl-2-phenyl-1,3-dioxan-5-one dimethylhydrazone",,,,76.03077,,,C15 H20 N2 O2,,,,,,,,,,,,,,,,,,,,,0.876,93.3,515,1522,,,,79443,4517735,3232281,1764736,1675445,511367,9466,7267,5055,32706,33285,42244,667106,1050051,1115282,107974,70913,,1207287,1010293,,,,,,
96,6.325,196.07359,"Benzoic acid, 2,6-dimethoxy-, methyl ester",,,,165.0546,,,C10 H12 O4,,,,,,,,,,,,,,,,,,,,,0.901,93.1,644,1526,10,,,92675,,5160271,3139628,3419442,752894,941,7399,3581,30783,3122,63461,1024100,1726362,1849355,165586,119184,128865,,2398282,,,,,,
97,6.347,277.11114,"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane",,,,203.05553,,,C14 H36 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.896,94.7,588,1528,,,,2977,303811,52100,1591055,189792,804393,,,1292,2754,1611,,2272607,2503733,,37290,6988,5655,1905392,2174767,,,,,,
98,6.358,263.09506,Tris(tert-butyldimethylsilyloxy)arsane,,,,225.06041,,,C18 H45 As O3 Si3,,,,,,,,,,,,,,,,,,,,,0.883,94.2,532,1529,,,,2248,59306,2546,179878,39105,,9840,20904,12304,830,2152,1911,296917,283420,,1064,,783,248312,267318,,,,,,
99,6.38,138.14087,"5-Dodecene, (Z)-",,,,70.07768,,,C12 H24,,,,,,,,,,,,,,,,,,,,,0.964,99.1,835,1531,355,,,635829,1114524,580719,1752431,762216,4643670,12833,11699,17388,4705362,2035640,5880270,10041553,9206838,4459244,1035206,175737,,942045,574202,,,,,,
100,6.439,175.11542,"Benzene, ethylpentamethyl-",,,,99.06242,,,C13 H20,,,,,,,,,,,,,,,,,,,,,0.576,17.6,527,1537,,,,43312,206811,1726,723567,237850,587381,,,193,8142,9142,6035,934974,6274,911657,273,212,,753765,716235,,,,,,
101,6.466,431.03207,N-(tert-Butoxycarbonyl)-2-(4-methoxyphenyl)allylamine,,,,207.03242,,,C15 H21 N O3,,,,,,,,,,,,,,,,,,,,,0.945,99.2,742,1540,,,,,,,26150857,,,,,,,,,15443968,13974579,11921199,,,,13617759,16240288,,,,,,
102,6.496,282.05139,"3-(2,1,3-Benzothiadiazol-4-yl)aniline",,,,221.04825,,,C12 H9 N3 S,,,,,,,,,,,,,,,,,,,,,0.517,3.3,518,1543,,,,23212,165894,13364,984727,,582908,,908,,22377,27246,1128,1337978,1688329,1083326,2762,1706,1590,1117605,1085663,,,,,,
103,6.513,160.95467,Peak@6.513,,,,61.028,,,,,,,,,,,,,,,,,,,,,,,,0,,,1544,,,,1517,185428,1763,755936,82732,364092,,,225,2430,785,448,,400244,259521,498,400,,778228,699574,,,,,,
104,6.526,291.12683,"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane",,,,240.09464,,,C14 H36 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.884,93.1,558,1546,,,,3227,2841987,103127,8413024,1959030,5009414,,1166,3433,8146,5465,3434,11725423,12766549,8544261,14452,3190,8766,9514850,8520253,,,,,,
105,6.586,160.05632,"1,2,4,5-tetramethyl-3,6-dinitro-benzene",,,,133.04486,,,C10 H12 N2 O4,,,,,,,,,,,,,,,,,,,,,0.518,0.2,587,1552,,,,836424,733234,412875,488767,625450,605308,,,104986,916839,788719,704496,838003,708748,655952,494642,258068,318675,339421,,,,,,,
106,6.617,200.17761,Dodecanoic acid,,,,143.1067,,,C12 H24 O2,,,,,,,,,,,,,,,,,,,,,0.965,99.4,838,1555,12,,,881747,1113234,68806,145900,97447,316169,427,3785,957,8823229,2800600,14931617,761669,253825,87333,18323,45373,112513,17542,8101,,,,,,
107,6.779,148.12523,"2(3H)-Furanone, 5-heptyldihydro-",,,,85.02838,,,C11 H20 O2,,,,,,,,,,,,,,,,,,,,,0.945,99.8,731,1571,5,,,299768,55522,29881,150973,94279,550444,,,,4899564,122954,3895313,413977,286171,114872,38067,,43223,20717,33813,,,,,,
108,6.801,164.10756,Isophorone diisocyanate,,,,164.10701,,,C12 H18 N2 O2,,,,,,,,,,,,,,,,,,,,,0.917,93.1,723,1573,11,,,91699,255,1306,,22477,56467,,,,424516,293069,233096,349,2301,2746,3765,,218,508,259,,,,,,
109,6.909,181.08025,6-Trimethylsiyl-5-hexyn-2-one,,,,80.05585,,,C9 H16 O Si,,,,,,,,,,,,,,,,,,,,,0.536,0,678,1584,,,,1276124,196817,330751,711418,530038,303141,,202,32170,797950,560141,1171215,578860,455912,98246,76038,21230,334243,142053,141245,,,,,,
110,6.922,243.15964,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",,,,173.11723,,,C16 H30 O4,,,,,,,,,,,,,,,,,,,,,0.916,98.3,614,1585,3,,,538204,99626,40024,1007502,299807,136067,3203,17093,23036,185189,112491,473395,166946,522106,90979,32993,37019,61972,39785,46299,,,,,,
111,6.926,176.04735,"Benzene-1,2-dicarboxylic acid bis(3-methylbutyl) ester",,,,176.0468,,,C18 H26 O4,,,,,,,,,,,,,,,,,,,,,0.912,97.2,617,1585,,,,243089,89488,36166,394265,133211,88266,4193,6234,4087,242015,99610,246885,109017,222776,72137,33637,15923,65336,80872,69500,,,,,,
112,6.931,96.09386,"Diazene, bis(2-cyclohexyl-1-methylethyl)-, 1,2-dioxide, (R*,R*)-(.+-.)-",,,,219.13785,,,C18 H34 N2 O2,,,,,,,,,,,,,,,,,,,,,0.932,99.6,666,1586,,,,36905,21655,6779,22427,,13082,,1922,3064,,26744,33649,27190,31814,9207,4877,6787,8889,7102,11722,,,,,,
113,7.013,126.14087,"Pentadecane, 7-methyl-",,,,85.10115,,,C16 H34,,,,,,,,,,,,,,,,,,,,,0.951,99.7,761,1594,53,,,1058216,116740,484415,,,187930,72221,57731,53292,894630,343238,1637703,204134,599935,295827,174346,148663,,61131,79210,,,,,,
114,7.062,166.12323,Isophorone diisocyanate,,,,100.05183,,,C12 H18 N2 O2,,,,,,,,,,,,,,,,,,,,,0.967,99.8,838,1599,15,,,,44644,,49181,4629,5608,169,481,13138,71007,81426,102246,64426,62643,36812,37441,46938,61303,47844,31556,,,,,,
115,7.074,165.02483,3-Methyl-3H-benzothiazol-2-one,,,,160.07562,,,C8 H7 N O S,,,,,,,,,,,,,,,,,,,,,0.942,93.7,834,1600,,,,,1382,20237,54245,28604,54524,369,1354,2841,40876,47913,46026,32486,147441,96055,19770,18409,22351,18165,9812,,,,,,
116,7.254,137.13304,"11-Hexadecen-1-ol, (Z)-",,,,83.08109,,,C16 H32 O,,,,,,,,,,,,,,,,,,,,,0.966,99.7,834,1615,252,,,61688,,,,21483,20947,,,1333,76645,96022,60117,,,,,,,,,,,,,,
117,7.266,73.05568,Peak@7.266,,,,355.06995,,,,,,,,,,,,,,,,,,,,,,,,0,,,1616,,,,,7377493,,46843316,,,,,,15715041,,13897545,11309321,27901693,25848209,,8051211,18539200,,,,,,,,
118,7.298,138.03169,Propylparaben,,,,288.00647,,,C10 H12 O3,,,,,,,,,,,,,,,,,,,,,0.954,96.7,836,1619,13,,,468874,98965,82050,588872,294331,279528,,1589,821,326677,230623,332289,131279,1430106,494845,26781,58553,175590,6098,156558,,,,,,
120,7.306,577.12683,"Silane, trimethyl-2-propenyl-",,,,326.02274,,,C6 H14 Si,,,,,,,,,,,,,,,,,,,,,0.945,99.2,740,1620,,,,357670,,37627,440092,203139,191709,,,,98474,170311,246989,76142,1244015,335129,6098,,93303,980,102509,,,,,,
119,7.306,577.12689,"Cyclooctasiloxane, hexadecamethyl-",,,,400.98462,,,C16 H48 O8 Si8,,,,,,,,,,,,,,,,,,,,,0.915,95.3,666,1620,84,,,110363028,16304394,9927307,140718787,57662689,62233881,238455,224751,82946,71275427,53039496,85826711,21955990,390064438,102672329,2485850,6215013,28188601,391890,26687209,,,,,,
121,7.352,184.02077,"Benzoic acid, 4-nitro-, methyl ester",,,,106.062,,,C8 H4 D3 N O4,,,,,,,,,,,,,,,,,,,,,0.529,6,526,1623,,,,13769,9931,47228,1584,10730,130911,,,423,189059,5418,126622,1414,83218,,405175,20483,174384,512978,2556,,,,,,
123,7.375,181.00186,"2(3H)-Benzothiazolethione, 3-methyl-",,,,148.02147,,,C8 H7 N S2,,,,,,,,,,,,,,,,,,,,,0.979,98.8,918,1626,15,,,43808218,885109,7025189,7848319,11476211,91049644,,3587,122849,261369376,20171981,254723261,427705,19504054,47393958,44373863,1936896,43918533,75294839,681698,,,,,,
122,7.375,117.9751,"2,4(1H,3H)-Quinolinedione, 3-benzoyl-3-(phenylmethyl)-",,,,153.06985,,,C23 H17 N O3,,,,,,,,,,,,,,,,,,,,,0.529,5,546,1625,,,,82309,33626,24787,,41858,,46864,43114,22734,76658,,,,53859,33512,19356,9850,75864,20739,17056,,,,,,
124,7.382,117.97508,Peak@7.382,,,,232.18201,,,,,,,,,,,,,,,,,,,,,,,,0,,,1626,,,,353762,322524,204468,515386,294235,179081,307939,301593,177465,115302,118817,132297,176719,313941,228157,133464,111984,116159,191894,152720,,,,,,
125,7.45,182.15446,Lauryl isocyanate,,,,155.06041,,,C13 H25 N O,,,,,,,,,,,,,,,,,,,,,0.949,98.9,764,1631,,,,16344,15822,11310,30067,,15137,830,4460,2030,38661,32836,,19129,34138,16755,24037,9202,14885,36480,23432,,,,,,
126,7.469,169.08916,Diphenylamine,,,,168.08076,,,C12 H11 N,,,,,,,,,,,,,,,,,,,,,0.957,95,886,1633,11,,,2650015,83650,996137,3213168,1298112,1662914,837,2137,6116,1906278,1477340,3479836,1149671,2376455,1253347,1695024,134728,1361336,4205533,2347174,,,,,,
127,7.593,182.0731,Benzophenone,,,,181.0648,,,C13 H10 O,,,,,,,,,,,,,,,,,,,,,0.965,97.9,867,1644,9,,,1240678,591238,687958,1956793,700763,383404,54522,89096,68359,1102057,1173266,1800176,809567,1559989,1864258,582250,577516,1019242,519511,1199110,,,,,,
128,7.62,191.00169,Ethylene glycol - Adipate - Diethylene glycol,,,,84.05253,,,C12 H22 O7,,,,,,,,,,,,,,,,,,,,,0.936,99.5,691,1645,,,,152418,98003,254397,17263,105067,34881,285,417,3929,282259,13761,100288,67552,55048,29896,8994,8302,14980,5844,6113,,,,,,
129,7.637,214.08417,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, triethyl ester",,,,112.01547,,,C12 H20 O7,,,,,,,,,,,,,,,,,,,,,0.956,99.6,788,1647,,,,110641,228204,804,3335,47857,13804,,,,173049,6619,34764,7616,4065,4249,4430,2791,1542,8608,4695,,,,,,
130,7.663,226.15698,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",,,,460.95145,,,C13 H22 O3,,,,,,,,,,,,,,,,,,,,,0.937,97.4,737,1649,5,,,137640,124626,131146,198913,82688,138639,22102,31296,16848,118531,116347,109155,57888,705195,359259,43836,54393,93389,19731,113081,,,,,,
131,7.821,210.14085,"1-Ethynyl-2-(3,3,4,4-tetramethylcyclobut-1-en-1-yl)benzene",,,,180.09341,,,C16 H18,,,,,,,,,,,,,,,,,,,,,0.962,97.9,853,1662,,,,643369,27543,16988,760251,288045,117842,5609,7119,5467,269551,131850,492721,95674,402011,40071,7208,4492,90317,13544,38302,,,,,,
132,7.914,593.12219,Peak@7.914,,,,371.06485,,,,,,,,,,,,,,,,,,,,,,,,0,,,1670,,,,76440,332449,75910,294760,114654,114761,18720,19170,17170,97661,84916,101005,83477,404815,425549,53527,63331,46875,60476,169578,,,,,,
133,8.02,97.10167,Cyclohexadecane,,,,153.12738,,,C16 H32,,,,,,,,,,,,,,,,,,,,,0.963,99.1,835,1679,,,,9636,,4770,4893,5190,,214,688,808,105083,,,46715,22212,,3579,3408,7393,3345,4493,,,,,,
134,8.041,328.09769,"Octanoic acid, 1-(hydroxymethyl)-1,2-ethanediyl ester, (S)-",,,,241.07422,,,C19 H36 O5,,,,,,,,,,,,,,,,,,,,,0.861,88,547,1680,701,,,9937,12591,12447,14143,141735,29617,673,3422,1040,18866,5225,,34869,67316,15913,2847,5361,3463,105469,186968,,,,,,
135,8.041,594.12085,Peak@8.041,,,,345.97565,,,,,,,,,,,,,,,,,,,,,,,,0,,,1680,,,,298248,414895,236447,328787,115810,215321,48055,101401,58934,529223,507847,412931,536628,798500,666501,235883,267303,275045,223885,448692,,,,,,
136,8.045,503.108,Peak@8.049,,,,344.97653,,,,,,,,,,,,,,,,,,,,,,,,0,,,1681,,,,1322888,1971577,1092849,1467745,559369,1007346,230176,464348,263873,2308553,2166603,1916278,2589334,3888382,3110429,1000095,1176765,1227552,1044384,2074527,,,,,,
137,8.049,503.10809,"Tetrasiloxane, 3,5-diethoxy-1,1,1,7,7,7-hexamethyl-3,5-bis(trimethylsiloxy)-",,,,253.07433,,,C16 H46 O7 Si6,,,,,,,,,,,,,,,,,,,,,0.846,83.6,559,1681,,,,289380,832738,208270,539040,155140,267643,53912,105045,53888,510484,418484,417614,575698,1044040,836633,171637,189123,188793,206235,485232,,,,,,
138,8.058,151.00917,2(3H)-Benzothiazolone,,,,123.01374,,,C7 H5 N O S,,,,,,,,,,,,,,,,,,,,,0.96,95.6,888,1682,,,,5149803,199269,3393959,371058,1685045,9498479,,,53706,16913852,4591799,27024695,69182,4444822,10994508,17004367,1781223,11356165,22604736,268972,,,,,,
139,8.061,400.005,"N-[4-(1-Hydroxyiminoethyl)phenyl]-2-[4-phenyl-5-(3,4,5-trimethoxy-phenyl)-4H-[1,2,4]triazol-3-ylsulfanyl]acetamide",,,,312.09769,,,C27 H27 N5 O5 S,,,,,,,,,,,,,,,,,,,,,0.754,52.3,723,1682,,,,63682,269035,49257,,,92872,5054,23569,12069,119355,107545,105750,269752,348282,319548,43775,43855,49349,112696,148037,,,,,,
141,8.068,357.03061,"Diethyl (1S*,3R*,3aS*,6aR*)-1-benzyl-4,6-dioxo-5-phenyl octahydropyrrolo[3,4-c]pyrrole-1,3-dicarboxylate",,,,360.02756,,,C25 H26 N2 O6,,,,,,,,,,,,,,,,,,,,,0.755,61.8,536,1683,,,,189672,487657,147047,641501,232879,890537,42930,87529,54513,327411,321080,251727,3594057,3315045,2844553,149689,190694,179295,1670397,1962715,,,,,,
140,8.071,311.09866,Peak@8.071,,,,312.09769,,,,,,,,,,,,,,,,,,,,,,,,0,,,1683,,,,63682,269035,49257,141780,60644,92872,5054,23569,12069,119355,107545,105750,269752,348282,319548,43775,43855,49349,112696,148037,,,,,,
142,8.081,222.12569,n-Hexyl salicylate,,,,138.03116,,,C13 H18 O3,,,,,,,,,,,,,,,,,,,,,0.947,93.7,861,1684,2,,,83098,3589,4927,81156,12558,269795,,,,830392,726359,859876,321891,650416,132009,13350,7201,35259,,6101,,,,,,
143,8.083,501.1831,"Heptasiloxane, hexadecamethyl-",,,,163.06055,,,C16 H48 O6 Si7,,,,,,,,,,,,,,,,,,,,,0.898,98.5,522,1684,131,,,2707031,106664242,1703962,130060672,36427359,42106979,323190,586842,372412,4701319,3708562,4103141,164274341,166310963,149665889,1495262,1370449,1628158,49644447,67764898,,,,,,
145,8.089,210.14084,"1-Ethynyl-2-(3,3,4,4-tetramethylcyclobut-1-en-1-yl)benzene",,,,180.09335,,,C16 H18,,,,,,,,,,,,,,,,,,,,,0.943,95.8,797,1684,,,,1631002,35355,49760,2466668,931953,414932,11210,14976,13847,779570,458326,1376202,350324,1240339,109140,27948,15539,278400,3048,48877,,,,,,
144,8.091,355.07053,"1,11-Di(1-phenylpropyl)-2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,11-hexaoxa-2,4,6,8,10-pentasilaundecane",,,,281.05115,,,C28 H52 O6 Si5,,,,,,,,,,,,,,,,,,,,,0.897,95,583,1684,872,,,1574555,34039270,667173,52146343,11213043,16867021,99218,183718,110262,3764090,2272263,3676597,80301517,87574506,69573139,810697,566377,887399,21585717,34875433,,,,,,
146,8.094,299.06229,"1-{[Dimethyl(oxo)-sulfanylidene]amino}anthracene-9,10-dione",,,,267.03549,,,C16 H13 N O3 S,,,,,,,,,,,,,,,,,,,,,0.821,80.2,500,1685,,,,38021,6456730,18861,13130034,2444774,,504,2037,1956,81968,54760,75043,17829492,19774590,14792577,19924,18299,20564,3724401,6034688,,,,,,
149,8.097,212.15651,"2,6-Diisopropylnaphthalene",,,,212.15596,,,C16 H20,,,,,,,,,,,,,,,,,,,,,0.898,89.3,706,1685,43,,,313557,,7664,416256,196289,29484,14810,4820,1447,130477,83279,246218,,112259,17159,5607,2743,55002,,,,,,,,
150,8.098,341.10925,"Benzo[b]thiophene-3-carboxylic acid, 2-hexanoylamino-4,5,6,7-tetrahydro-, ethyl ester",,,,269.01471,,,C17 H25 N O3 S,,,,,,,,,,,,,,,,,,,,,0.728,56.8,505,1685,,,,30382,623111,25762,1214480,423310,538889,4649,12450,10666,35452,42330,806,1492944,1617870,,27204,25593,26032,382007,634794,,,,,,
147,8.098,323.09866,"1,2-Benzenedicarbonitrile, 4-chloro-3,6-bis[(trimethylsilyl)oxy]-",,,,269.01486,,,C14 H19 Cl N2 O2 Si2,,,,,,,,,,,,,,,,,,,,,0.644,34.7,525,1685,,,,30382,623111,25762,1214480,,538889,4649,12450,10666,35452,42330,806,1492944,1617870,1291552,,25593,26032,382007,634794,,,,,,
148,8.1,341.10922,"(4-Chloro-phenyl)-urea, bis(tert-butyldimethylsilyl) derivative",,,,341.01794,,,C19 H35 Cl N2 O Si2,,,,,,,,,,,,,,,,,,,,,0.768,63.1,577,1685,,,,598348,4678979,202208,7826352,1404181,4444133,37570,70169,42997,1417490,889223,1365503,33821568,32937769,26791700,296066,197225,299714,11713218,15038637,,,,,,
151,8.104,359.02911,"Trisiloxane, octamethyl-",,,,222.08405,,,C8 H24 O2 Si3,,,,,,,,,,,,,,,,,,,,,0.743,55.2,612,1686,,,,50824,2437400,38090,2787218,850289,1745017,1027,5316,6609,116574,76748,100810,6554389,6020752,5085834,34168,22558,35396,3408612,5135012,,,,,,
152,8.113,429.08923,Peak@8.113,,,,399.00534,,,,,,,,,,,,,,,,,,,,,,,,0,,,1686,,,,254234,388898,145209,311765,44956,332890,33281,66390,39746,536125,393572,481810,803439,825100,598344,175426,170431,202367,383723,1348501,,,,,,
153,8.136,367.07037,Acetic anhydride derivative of (trideuterio)paracetamol,,,,46.03669,,,C12 H10 D3 N O4,,,,,,,,,,,,,,,,,,,,,0.956,96.8,844,1689,,,,97211,74918,71735,60193,41617,61546,,1146,9142,365009,240828,350987,,73024,40594,90909,41997,24804,8539,2587,,,,,,
154,8.176,201.12831,"Pyridine-2-carboxylic acid, hexahydro-1-(5-methyl-2-furoyl)-",,,,96.08073,,,C12 H15 N O4,,,,,,,,,,,,,,,,,,,,,0.73,53.6,576,1691,,,,,202915,45935,48460,128165,132756,344,12190,30357,,466932,451475,111802,124684,88238,,18416,17507,11596,12917,,,,,,
155,8.181,152.14394,Dodecanenitrile,,,,96.08073,,,C12 H23 N,,,,,,,,,,,,,,,,,,,,,0.886,87.9,672,1692,202,,,664733,202915,45935,48460,128165,132756,344,12190,30357,638005,466932,451475,111802,124684,88238,19188,18416,17507,11596,12917,,,,,,
157,8.197,223.08807,"Thiazole, 2-(phenylthio)-",,,,178.98222,,,C9 H7 N S2,,,,,,,,,,,,,,,,,,,,,0.677,42.9,528,1693,,,,,897,,2132,561,1309,662,301,,495,519,625,9166,1527,6746,570,240,,52041,900,,,,,,
156,8.201,239.09561,"Veratric acid, TBDMS derivative",,,,181.10124,,,C15 H24 O4 Si,,,,,,,,,,,,,,,,,,,,,0.78,69,519,1693,281,,,592043,26070,10268,1020890,338049,146051,1077,2774,2140,290643,153858,476616,109391,559754,81085,7121,4512,80033,5201,45465,,,,,,
158,8.206,263.09503,"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane",,,,163.11177,,,C14 H36 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.891,97.6,502,1694,,,,29684,,21357,40301,19369,,,,759,98674,26480,100851,,26262,79021,50139,5392,59010,151779,7873,,,,,,
159,8.224,326.96646,Peak@8.229,,,,134.01692,,,,,,,,,,,,,,,,,,,,,,,,0,,,1696,,,,493,,,14403,32767,10263,1071,343,417,1313,701,501,136311,1050453,11852,468,278,195,174872,1958,,,,,,
160,8.246,471.13611,Peak@8.246,,,,74.05017,,,,,,,,,,,,,,,,,,,,,,,,0,,,1697,,,,12476,580219,4711,964941,,421949,1366,,2353,46829,31877,17383,1968009,2745817,1169150,7479,,,919930,538461,,,,,,
161,8.25,98.1095,"Tetradecane, 2,5-dimethyl-",,,,99.1168,,,C16 H34,,,,,,,,,,,,,,,,,,,,,0.972,100,858,1697,,,,150586,,12185,128464,60755,57308,19296,13431,4971,309159,,,,171736,32814,8189,10550,,8732,19383,,,,,,
162,8.274,219.29536,Methyl perdeuterio-hexadecanoate,,,,78.12634,,,C17 H3 D31 O2,,,,,,,,,,,,,,,,,,,,,0.916,99.3,595,1700,,,,104097,93246,176269,185473,42284,47545,255,19421,108015,143196,181949,142054,134989,93581,107698,108490,145364,135938,181645,167273,,,,,,
163,8.303,366.14093,"6-(4-Chlorophenyl)-4-(trifluoromethyl)-4,5-dihydropyridazin-3(2H)-one",,,,209.01164,,,C11 H8 Cl F3 N2 O,,,,,,,,,,,,,,,,,,,,,0.53,7.1,507,1702,,,,569609,1152020,219203,5366885,3681287,1393019,,,,897519,1034857,529577,,33953076,15505156,237602,,117329,13259633,8796767,,,,,,
164,8.324,283.03113,"4,6-Bis(4-ethoxybenzylthio)-5-nitropyrimidine",,,,136.08369,,,C22 H23 N3 O4 S2,,,,,,,,,,,,,,,,,,,,,0.827,76.2,608,1704,,,,54928,21575,48917,37308,28939,110194,180,,1565,260404,45888,220237,9850,59797,198825,130356,11440,155674,385948,19989,,,,,,
166,8.345,238.07954,Peak@8.349,,,,138.00816,,,,,,,,,,,,,,,,,,,,,,,,0,,,1706,,,,1279,881,,22429,17619,,1015,376,419,646,1806,1701,135745,223474,91577,491,907,220,42319,35277,,,,,,
165,8.349,249.07991,"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane",,,,151.02414,,,C14 H36 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.903,97.6,560,1706,,,,113635,670021,139789,7661984,5836877,9329717,,21740,,188710,201772,103834,58408457,85322428,34925222,393829,75977,27732,29841312,18501958,,,,,,
167,8.377,179.11372,1-Methyl-d3-5-(3-pyridyl)pyrrolidin-2-one,,,,78.03377,,,C10 H9 D3 N2 O,,,,,,,,,,,,,,,,,,,,,0.97,99.3,860,1709,,,,3550687,3349113,3424505,3777310,2436719,2354748,1281,886,652935,4544244,4261401,4392533,3656157,3575164,2892573,2101171,1785043,2143472,2598589,2144029,,,,,,
168,8.406,149.09666,"1-Butanol, 3-methyl-, benzoate",,,,123.04408,,,C12 H16 O2,,,,,,,,,,,,,,,,,,,,,0.949,98,782,1711,272,,,135622,23109,9526,295340,95660,321194,1900,3702,1268,1228661,731064,1643065,440972,674919,198716,14321,9355,65354,11837,37861,,,,,,
169,8.433,210.14085,"1-Ethynyl-2-(3,3,4,4-tetramethylcyclobut-1-en-1-yl)benzene",,,,180.09341,,,C16 H18,,,,,,,,,,,,,,,,,,,,,0.962,98,848,1714,,,,1313500,112551,80422,2742269,919767,465118,11697,18616,16873,844793,547064,1263828,376481,1616359,366648,53488,33571,352999,63408,203833,,,,,,
171,8.45,202.03963,"Sulfuric acid, 4-chlorophenyl 2,2-dimethylpropyl ester",,,,175.07544,,,C11 H15 Cl O4 S,,,,,,,,,,,,,,,,,,,,,0.948,97.9,780,1716,,,,35366,23279,37711,77632,52776,27056,,,7670,53029,,,36396,27479,21670,20957,17379,25583,20352,23083,,,,,,
170,8.453,125.13305,(2-Butyl-octyloxy)-acetic acid,,,,111.1168,,,C14 H28 O3,,,,,,,,,,,,,,,,,,,,,0.931,98.9,675,1715,,,,,239134,270495,959061,304028,310260,,,9660,,1550112,1237546,488861,1307234,871848,342386,56991,242197,527269,341536,,,,,,
172,8.491,441.12494,"((5-(4-Fluorophenyl)-1,3,4-oxadiazol-2-yl)sulfanyl)acetic acid, tert-butyldimethylsilyl ester",,,,189.12746,,,C16 H21 F N2 O3 S Si,,,,,,,,,,,,,,,,,,,,,0.875,93,515,1719,681,,,65350,7769,10860,38291,25072,18361,2729,6598,2968,42992,22778,52012,46569,40070,24460,7485,7530,20921,,20406,,,,,,
